MÃ 一级编码,一级编码名称, SẢN PHẨM 类别,MÃ SẢN PHẨM 类别编码,TÊN VẬT PHẨM 物品名称,MÃ VẬT PHẨM 物品编码,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy máy DBxKN #9 风琴机针DB*1KN #9,F0801001,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DBx1KN #11 风琴机针DB*1KN #11,F0801002,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DB X KN #12 风琴机针DB*1KN #12,F0801003,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DB X KN #14 风琴机针DB*1KN #14,F0801004,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DB x1 #16 风琴机针DB*1 #16,F0801005,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DB x1 #18 风琴机针DB*1 #18,F0801006,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DP x5 KN #11 风琴机针DP*5 #11,F0801007,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DP x 5 #14 风琴机针DP*5 #14,F0801008,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DP x 17 #11 风琴机针DP*17 #11,F0801009,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim vắt sổ DC x 1KN # 11 风琴机针DC*1 （拷边机）,F0801010,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim vắt sổ DC x KN # 16 风琴机针DC*1 （拷边机）,F0801011,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim vắt sổ DC x KN # 18 风琴机针DC*1 （拷边机）,F0801012,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,"kim sâm lai #2 LM x 6T( số 2 là size 10)
 挑脚车机针",F0801013,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,"kim sâm lai số 3  LM x 6T ( số 3 là size 11)
挑脚车机针",F0801014,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim cúc 珠针,F0801015,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim tay số 9 手缝针,F0801016,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim tay số 8 手缝针 ,F0801017,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim tay số 10手缝针,F0801018,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim tay số 11 手缝针,F0801019,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DCx1#16 缝纫机针,F0801020,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim DC x 1KN # 9 风琴机针DC*1 （拷边机）,F0801021,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,UY*123 # 9,F0801022,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,UY*123 #11,F0801023,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,UY*123 #12,F0801024,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DP x5 KN #12 风琴机针DP*5 #12,F0801021,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DB x 1KN #8 缝纫机针 ,F0801022,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DC x KN #11缝纫机针,F0801023,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,kim máy may DBx1KN số 9 风琴机针DB*1,F0801024,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801, kim máy may UY x128 #14 风琴机针UY128,F0801025,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,"kim máy may UO x 113 #16 
风琴机针型号UO*113GS(风琴机针)",F0801026,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,Kim máy may MT x190 #11 风琴机针 型号MT*190,F0801027,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,Kim máy may MT x190 #14 风琴机针 型号MT*190,F0801028,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,Kim máy may DP*17# 9 机针DP*17# 9,F0801029,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,Kim máy may DP*17# 14 机针DP*17# 14,F0801030,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,Kim máy may DP*5KN #9  风琴机针DP*5 #9,F0801031,,,,,,,,,,,,,,,,,,,,,
F08 (LK),机物料,kim 针,F0801,Kim máy may DO*558 # 16 机针DO*558 # 16,F0801032,,,,,,,,,,,,,,,,,,,,,
